Region,Population,GDP,Colour
Cherkasy,1186848,3796508950,#e6ab02
Chernihiv,986199,2906305620,#e6ab02
Chernivtsi,899755,1598747380,#e6ab02
Crimea,1911818,5408006480,#7570b3
Dnipropetrovsk,3164030,17967997100,#7570b3
Donetsk,4120098,20737208250,#7570b3
Ivano-Frankivsk,1365366,3920488980,#e6ab02
Kharkiv,2649501,9984338890,#7570b3
Kherson,1023856,2350520510,#7570b3
Khmelnytskyi,1250797,3185958910,#e6ab02
Kiev,1781891,8459178090,#e6ab02
Kiev City,2965013,33476429550,#e6ab02
Kirovohrad,928242,2678260080,#7570b3
Lviv,2506733,7524045660,#e6ab02
Luhansk,2130788,7136076810,#7570b3
Mykolayiv,1115657,3546363150,#7570b3
Odessa,2373758,7861742490,#e6ab02
Poltava,1381365,6870509400,#7570b3
Rivne,1151266,2646566850,#e6ab02
Sevastopol,443212,1201064130,#7570b3
Sumy,1063015,3027614190,#7570b3
Ternopil,1035881,2180518510,#e6ab02
Transcarpathia,1252693,2599087720,#e6ab02
Vinnytsya,1539308,4010104320,#e6ab02
Volyn,1030157,2429207150,#e6ab02
Zaporizhzhya,1679889,6657764040,#7570b3
Zhytomyr,1203652,3017414070,#e6ab02
